Year,Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,PICTURE,
2006,24,24,MEM,Kyle Lowry,Villanova University,10,601,17857,7719,2382,3365,0.418,0.352,0.798,29.7,12.8,4,5.6,52.6,0.141,3.1,22.7,http://d2cwpp38twqe55.cloudfront.net/images-011/players/lowryky01.png,
2006,25,25,CLE,Shannon Brown,Michigan State University,9,408,7329,3118,760,458,0.42,0.332,0.807,18,7.6,1.9,1.1,9.2,0.06,-2.3,-0.6,http://d2cwpp38twqe55.cloudfront.net/images-011/players/brownsh01.png,
2006,26,26,LAL,Jordan Farmar,University of California Los Angeles,8,490,9514,3766,930,1407,0.423,0.374,0.734,19.4,7.7,1.9,2.9,13.4,0.068,-1.3,1.6,http://d2cwpp38twqe55.cloudfront.net/images-011/players/farmajo01.png,
2006,27,27,PHO,Sergio Rodriguez,,4,285,3763,1217,368,839,0.418,0.316,0.748,13.2,4.3,1.3,2.9,3.6,0.046,-2.9,-0.9,,
2006,28,28,DAL,Maurice Ager,Michigan State University,4,82,505,169,46,19,0.339,0.25,0.566,6.2,2.1,0.6,0.2,-0.9,-0.089,-10.4,-1.1,http://d2cwpp38twqe55.cloudfront.net/images-011/players/agerma01.png,
2006,29,29,NYK,Mardy Collins,Temple University,4,189,2771,742,336,327,0.38,0.299,0.599,14.7,3.9,1.8,1.7,-1.6,-0.027,-4.9,-2,http://d2cwpp38twqe55.cloudfront.net/images-011/players/collima01.png,
2006,30,30,POR,Joel Freeland,,3,151,1821,477,518,65,0.459,0,0.728,12.1,3.2,3.4,0.4,3.2,0.084,-2.5,-0.2,http://d2cwpp38twqe55.cloudfront.net/images-011/players/freeljo01.png,
2007,1,1,POR,Greg Oden,Ohio State University,3,105,2028,840,656,51,0.574,,0.658,19.3,8,6.2,0.5,7.3,0.174,1.1,1.6,http://d2cwpp38twqe55.cloudfront.net/images-011/players/odengr01.png,
2007,2,2,SEA,Kevin Durant,University of Texas at Austin,9,587,22273,16032,4072,2078,0.482,0.381,0.881,37.9,27.3,6.9,3.5,97.4,0.21,4.6,36.9,http://d2cwpp38twqe55.cloudfront.net/images-011/players/duranke01.png,
2007,3,3,ATL,Al Horford,University of Florida,9,521,17496,7419,4732,1400,0.537,0.336,0.742,33.6,14.2,9.1,2.7,57.3,0.157,2.8,21.3,http://d2cwpp38twqe55.cloudfront.net/images-011/players/horfoal01.png,
