月份,延平郡王祠,赤崁樓,億載金城,安平古堡,安平樹屋,每月旅遊人數,累計人數
1,22664,111951,32727,127332,71809,366483,366483
2,28470,93962,35823,85174,55884,299313,665796
3,27338,87863,23333,68661,41945,249140,914936
4,26894,92958,28156,80969,54104,283081,1198017
5,26066,75832,14807,54414,36120,207239,1405256
6,31253,77709,16536,59216,36161,220875,1626131
7,27662,93360,29132,78981,58717,287852,1913983
8,32243,119135,28676,94829,54150,329033,2243016
9,18939,66295,18646,55161,44451,203492,2446508
10,21353,75695,23951,74341,48017,243357,2689865
11,25145,75591,21986,66153,44716,233591,2923456
12,23132,84503,26456,83851,56129,274071,3197527
