月份,延平郡王祠,赤崁樓,億載金城,安平古堡,安平樹屋,每月旅遊人數,累計人數
1,22253,70441,22243,65984,48064,228985,228985
2,25181,127263,52817,135253,78799,419313,648298
3,26046,85455,21513,68282,56883,258179,906477
4,26271,89519,27652,79018,65941,288401,1194878
5,25800,74018,54236,58579,53885,266518,1461396
6,17337,71563,19026,61774,58796,228496,1689892
7,19101,88178,25256,74437,65190,272162,1962054
8,21575,91090,23959,77620,65069,279313,2241367
9,20599,77567,20439,64090,50413,233108,2474475
10,17704,71580,22679,67499,56574,236036,2710511
11,18690,80760,26346,77203,58788,261787,2972298
12,16848,74768,24416,76108,53328,245468,3217766
