year,average_on_each_stock,average_earning_on_each_stock,average_on_each_stock_xxx,NewYear
87,31.15,1.2,14.3,1998
88,38.62,0.8,14.85,1999
89,22.56,1.52,16.18,2000
90,25.22,0.61,15.33,2001
91,20.62,0.49,15,2002
92,27.35,1.12,15.19,2003
93,27.8,2.14,16.09,2004
94,28.87,1.61,16.42,2005
95,35.09,1.81,17.86,2006
96,38.43,2.47,19.42,2007
97,20.41,2.02,18.76,2008
98,35.83,0.3,18.81,2009
99,40.17,2.5,20.45,2010
100,31.23,1.91,20.32,2011
101,33.44,1.3,20.43,2012
102,37.09,2.04,20.93,2013
103,39.64,2.52,22.74,2014
104,34.46,2.73,23.11,2015
